count,category
4,services
149,entertainment
1450,services
890,services
2463,food
23,food
63,entertainment
63,services
13,services
3403,food
8,food
107,services
95,services
16,entertainment
1597,services
195,entertainment
372,services
15,services
442,services
1,entertainment
17,entertainment
58,services
483,services
1060,services
69,entertainment
136,entertainment
16,entertainment
3707,food
256,food
24,food
14,entertainment
264,food
10,entertainment
16,entertainment
2041,services
527,entertainment
74,services
97,services
493,entertainment
53,services
10,services
938,services
295,services
780,food
10734,food
17,entertainment
6,services
60,entertainment
1770,entertainment
9,entertainment
14,entertainment
74,entertainment
75,services
380,services
388,entertainment
124,services
6,entertainment
8284,food